comment_id,parent_id,author,text,published,like_count,is_top_level,published_dt,text_length,type,cleaned_tokens
Ugw85bc36oNpTBGaNRV4AaABAg,root,@WaveKing12,3:05 damn that’s actually pretty close to the real one i’m from the future and the iphone 16 and 17 are out the 17 looks like a damn android,1740873600,3,,2025-03-02,140,Top-level,"['damn', 'actually', 'pretty', 'close', 'real', 'one', 'future', 'iphone', 'look', 'like', 'damn', 'android']"
UgwBQiIG7wVkqQWvetJ4AaABAg,root,@dheerajgolabharatpur9338,Whats going on with this camera bump ? Why are some models with only two cameras? 😮😮😮😮😮,1738454400,0,,2025-02-02,87,Top-level,"['whats', 'going', 'camera', 'bump', 'model', 'two', 'camera']"
Ugz38DJfC6-2mKlJY7l4AaABAg,root,@mariaf2087,Camera lay out suck I still prefer my iPhone 15,1738454400,0,,2025-02-02,47,Top-level,"['camera', 'lay', 'suck', 'still', 'prefer', 'iphone']"
UgyP9mG4PnqWMhA7_eh4AaABAg,root,@JordanGodfrey-o6n,May I please have your older version iphone I have a old crazy android please bro,1735776000,0,,2025-01-02,81,Top-level,"['may', 'please', 'older', 'version', 'iphone', 'old', 'crazy', 'android', 'please', 'bro']"
UgxSF5ZvF_VXRxEXKqx4AaABAg,root,@aaronlim5958,Hi guys I got an iPhone SE 3rd gen with me just two years but the Home Screen is not working . So should I change to iPhone 15 or new 16 ? Please give me some suggestions,1730505600,0,,2024-11-02,170,Top-level,"['guy', 'got', 'iphone', 'gen', 'two', 'year', 'home', 'screen', 'working', 'change', 'iphone', 'new', 'please', 'give', 'suggestion']"
UgwG9InlOXULfXVha254AaABAg,root,@MohamedNAsherif,"Apple focuses on the advertising campaign and on making a lot of money unjustly from those who believe in them, unlike Chinese companies that give you value for money.  You will buy the charger, screen protector and case by yourself.  They will try to tempt you with a watch, headphones, iPad and laptop to enter the integrated slave system and they're going to keep making money from you year after year that's the bad Apple the same apple that brought down the Prophet Adam from heaven",1727827200,0,,2024-10-02,487,Top-level,"['apple', 'focus', 'advertising', 'campaign', 'making', 'lot', 'money', 'unjustly', 'believe', 'unlike', 'chinese', 'company', 'give', 'value', 'money', 'buy', 'charger', 'screen', 'protector', 'case', 'try', 'tempt', 'watch', 'headphone', 'ipad', 'laptop', 'enter', 'integrated', 'slave', 'system', 'going', 'keep', 'making', 'money', 'year', 'year', 'bad', 'apple', 'apple', 'brought', 'prophet', 'adam', 'heaven']"
UgyY3awQ9t0sXx0YBgl4AaABAg,root,@CaydinPearce-l9m,So this was really it 😂😂😂,1727827200,3,,2024-10-02,25,Top-level,['really']
UgxWZ9IGsEx3_i_wdwx4AaABAg,root,@GoatOuTkast,I’m just fine with my 14. I’ll get the 18 when it comes out. No need to get the latest and greatest every year.,1727827200,0,,2024-10-02,111,Top-level,"['fine', 'get', 'come', 'need', 'get', 'latest', 'greatest', 'every', 'year']"
Ugxr1oc1HPB4-zsonAh4AaABAg,root,@HustleDream,When are we as consumers going to cancel Apple for giving us the same phone year after year with minimal changes…,1727827200,1,,2024-10-02,113,Top-level,"['consumer', 'going', 'cancel', 'apple', 'giving', 'phone', 'year', 'year', 'minimal', 'change']"
UgxXtBEmDgpkrJ-glVx4AaABAg,root,@OscarHyman-k1n,Moore Linda Perez Angela Perez Christopher,1727827200,0,,2024-10-02,42,Top-level,"['moore', 'linda', 'perez', 'angela', 'perez', 'christopher']"
UgwYwh6lQZTyeN_tM2V4AaABAg,root,@Tlixc7,Bros in the backrooms 💀,1727827200,0,,2024-10-02,23,Top-level,"['bros', 'backroom']"
UgwmxmfWESI8jIZQDUN4AaABAg,root,@aytac007,"i always think the max is a waste of time, i thought it would be good to have that to watch sports and i did get it, once you get it you immediately regret it as its too big to fit even in your back pocket, its like trying to fit a small tablet in your back pocket, whats the point, i dont see none. i have the pro now, i love it, its small and fits everyehere, also with the max, it seems like you need to use both hands to hold the phone, thats stupid why is it that wide, i would always advise people to get whats the most practical and useable phone",1727827200,0,,2024-10-02,553,Top-level,"['always', 'think', 'max', 'waste', 'time', 'thought', 'would', 'good', 'watch', 'sport', 'get', 'get', 'immediately', 'regret', 'big', 'fit', 'even', 'back', 'pocket', 'like', 'trying', 'fit', 'small', 'tablet', 'back', 'pocket', 'whats', 'point', 'dont', 'see', 'none', 'pro', 'love', 'small', 'fit', 'everyehere', 'also', 'max', 'seems', 'like', 'need', 'use', 'hand', 'hold', 'phone', 'thats', 'stupid', 'wide', 'would', 'always', 'advise', 'people', 'get', 'whats', 'practical', 'useable', 'phone']"
UgzlBClaf1yql3cc7kh4AaABAg,root,@newb7524,Can i have the black one please? Hehehe 😂,1727827200,0,,2024-10-02,41,Top-level,"['black', 'one', 'please', 'hehehe']"
Ugykw0aOWQyig80T09R4AaABAg,root,@bisayastyle9324,That's iphone XR 7th Gen,1727827200,0,,2024-10-02,24,Top-level,"['iphone', 'gen']"
UgxHSMq1YAziZZmTDAF4AaABAg,root,@juliendufour4513,"My $5,000 MacBook Pro 14-inch screen got damaged by the keyboard despite using a protective sleeve at all times. Apple, how is this acceptable? After less than two years, it looks worse than my 8-year-old MacBook. Not sure people will keep spending big money on your products—I won’t.",1727827200,0,,2024-10-02,284,Top-level,"['macbook', 'pro', 'inch', 'screen', 'got', 'damaged', 'keyboard', 'despite', 'using', 'protective', 'sleeve', 'time', 'apple', 'acceptable', 'less', 'two', 'year', 'look', 'worse', 'year', 'old', 'macbook', 'sure', 'people', 'keep', 'spending', 'big', 'money', 'product']"
UgxHSMq1YAziZZmTDAF4AaABAg.A8EfSVT8TENA8FjnlclwZX,UgxHSMq1YAziZZmTDAF4AaABAg,@RenaissanceEarCandy,"You're very sensible not to give them the time of day, but unfortunately people will still pay through the nose for whatever the put out. A fool and his money are easily parted and there's plenty who just just hang the ""latest and greatest"", no matter how shit the latest and ""greatest"" actually is.",1727827200,0,,2024-10-02,299,Reply,"['sensible', 'give', 'time', 'day', 'unfortunately', 'people', 'still', 'pay', 'nose', 'whatever', 'put', 'fool', 'money', 'easily', 'parted', 'plenty', 'hang', 'latest', 'greatest', 'matter', 'shit', 'latest', 'greatest', 'actually']"
